,expected,cellID,pulse_index,freq,sample_size,gamma,slope,r2_sdn,r2_lin
232,0,3882.0,1.0,30.0,8,70.91229765624999,0.95819609375,0.7826173225429738,0.7562167485637606
250,0,3882.0,4.0,30.0,8,62.62860624999999,0.970803125,0.37266392273836935,0.32307615114602983
252,0,3882.0,5.0,1000.0,32,56.42158671875001,0.962790625,0.382811681264978,0.32301766192102654
253,0,3882.0,5.0,20.0,8,19.08925546875,0.794821875,0.6835989542915035,0.4731372933067034
256,0,3882.0,5.0,30.0,8,22.49589375,0.8387671875,0.5511232749260558,0.3380781369191591
258,0,3882.0,6.0,1000.0,32,27.887062890625,0.871237890625,0.49711753087365207,0.37193408863951793
259,0,3882.0,6.0,20.0,8,17.414206640625,0.7628953125,0.8283632418149809,0.7508281915494407
261,0,3882.0,6.0,40.0,8,24.094194140625,0.859175,0.32475623903102036,0.1276817036214669
262,0,3882.0,6.0,30.0,8,25.87774140625,0.854348046875,0.6688545454025632,0.5518696179761379
264,0,3882.0,7.0,1000.0,32,19.55928203125,0.80352265625,0.6837310110577474,0.521072448103824
265,0,3882.0,7.0,20.0,8,14.22772734375,0.7156203125,0.9264586798606637,0.8881485826219455
266,0,3882.0,7.0,50.0,8,29.4997,0.89569609375,0.015488348978466626,-0.27501969229068357
267,0,3882.0,7.0,40.0,8,20.517722265625,0.8175828125,0.7004400006221869,0.48601660551946246
268,0,3882.0,7.0,30.0,8,19.0575171875,0.79618671875,0.7631489426555239,0.6171670222389375
270,0,3882.0,8.0,1000.0,32,14.75420625,0.7450171875,0.6269495334262656,0.4587643654013689
271,0,3882.0,8.0,20.0,8,20.835493359375,0.7917921875,0.8029814886409821,0.7581054542979799
272,0,3882.0,8.0,50.0,8,21.670942578125,0.8289015625,0.7158204464636823,0.5321424401653919
273,0,3882.0,8.0,40.0,8,9.740334375,0.663130078125,0.39309725401058104,-0.3480909006778141
274,0,3882.0,8.0,30.0,8,11.83281953125,0.6964890625,0.533337055400789,0.3665366452265745
276,0,3872.0,1000.0,1000.0,288,4.7207472656250005,0.5362328125,0.13036038527161153,0.14241606036381493
278,0,3872.0,0.0,20.0,8,34.87168203125,0.85713359375,0.7527431688339788,0.7805626963566009
284,0,3872.0,1.0,20.0,8,34.87168203125,0.85713359375,0.7527431688339788,0.7805626963566009
290,0,3872.0,2.0,20.0,8,22.956098828125,0.801225390625,0.597995595289738,0.6422332924300673
295,0,3872.0,3.0,1000.0,32,8.126997265625,0.66670390625,0.17223475163690216,0.13698066822437227
296,0,3872.0,3.0,20.0,8,5.4695265625000005,0.534712109375,0.46744712716146386,0.6382087637850098
297,0,3872.0,3.0,50.0,8,7.7697312499999995,0.7078078125,-7.038179067264931,-9.128526081171566
298,0,3872.0,3.0,40.0,8,7.5285203124999995,0.682173046875,-0.5681437424710112,-1.1002406420208555
299,0,3872.0,3.0,30.0,8,16.23563984375,0.78096171875,0.4668363063556381,0.50896019797704
301,0,3872.0,4.0,1000.0,32,2.94081796875,0.427634375,0.1030359811063365,0.10305629468726629
302,0,3872.0,4.0,20.0,8,1.938920703125,0.33329609375,0.23589073067119737,0.5737679936793465
303,0,3872.0,4.0,50.0,8,3.2086960937500004,0.478315625,-7.7162472562439905,-12.42261751959662
304,0,3872.0,4.0,40.0,8,3.1405808593750004,0.45448984375,-1.5469961032729218,-3.751934834648414
305,0,3872.0,4.0,30.0,8,3.74179921875,0.4796363281250001,0.39652538158497364,0.6164176578217888
307,0,3872.0,5.0,1000.0,32,1.5417921875,0.2863328125,0.04585539928840521,-0.00991192566396304
308,0,3872.0,5.0,20.0,8,0.929055078125,0.21650859374999998,0.15208523779772043,0.5697813507120839
309,0,3872.0,5.0,50.0,8,2.3563453125,0.39433125,-1.9804269801303858,-3.7670529325105093
310,0,3872.0,5.0,40.0,8,1.73203359375,0.30537578125,-0.463759945768931,-1.6730381804928962
311,0,3872.0,5.0,30.0,8,1.334028515625,0.27207265625,0.2838597221263418,0.6110217207524584
313,0,3872.0,6.0,1000.0,32,0.9114328125,0.19805390625000008,0.02206594379903548,0.003212399187471182
314,0,3872.0,6.0,20.0,8,1.113813671875,0.23368671875000002,0.15352692163771875,0.4611052413330077
315,0,3872.0,6.0,50.0,8,1.874855859375,0.3390671875,-0.1680254438394584,-0.9762543448779006
316,0,3872.0,6.0,40.0,8,0.570168359375,0.11738750000000012,-0.40846177428469144,-2.089212487410202
317,0,3872.0,6.0,30.0,8,0.4230515625,0.117231640625,0.021349206097314943,0.18206754177735252
319,0,3872.0,7.0,1000.0,32,0.39511953125,0.092241015625,-0.015008231115559267,-0.07835028295127722
320,0,3872.0,7.0,20.0,8,0.6515671875,0.135598046875,0.07663163199916512,-0.05863100937988053
321,0,3872.0,7.0,50.0,8,1.193503515625,0.251753125,-0.09551244685967886,-0.27921072769099875
322,0,3872.0,7.0,40.0,8,0.13285664062500002,0.0164015625,0.0008337461127954082,-0.12965772918547191
325,0,3872.0,8.0,1000.0,32,0.2528296875,0.079978125,0.005528309742449888,0.0769207287199355
326,0,3872.0,8.0,20.0,8,0.759321484375,0.17118671875000002,0.15213198475145973,0.40787276497247504
